Distance_mm,Overlap_Real
-0.5654020154177005,-0.021198968890507347
-0.5455633482100615,-0.021453765261010584
-0.525724681002423,-0.021701132120735128
-0.5058860137947845,-0.021940913037573513
-0.48604734658714605,-0.022172956293775328
-0.46620867937950755,-0.022397114990783805
-0.44637001217186845,-0.022613247150748982
-0.42653134496422995,-0.022821215814646533
-0.4066926777565915,-0.023020889136933932
-0.386854010548953,-0.023212140476677322
-0.3670153433413139,-0.023394848485085683
-0.3471766761336755,-0.023568897189391574
-0.327338008926037,-0.023734176073019763
-0.3074993417183985,-0.023890580151987435
-0.28766067451076005,-0.02403801004748254
-0.26782200730312095,-0.024176372054570232
-0.24798334009548248,-0.024305578206978776
-0.22814467288784399,-0.0244255463379202
-0.20830600568020552,-0.02453620013690279
-0.18846733847256705,-0.02463746920249598
-0.16862867126492795,-0.024729289091010766
-0.14879000405728948,-0.0248116013610618
-0.12895133684965102,-0.024884353613979934
-0.10911266964201254,-0.024947499530046487
-0.08927400243437345,-0.02500099890052451
-0.06943533522673496,-0.025044817655464995
-0.04959666801909649,-0.02507892788726806
-0.029758000811458022,-0.02510330786998257
-0.00991933360381955,-0.025117942074330896
0.00991933360381955,-0.02512282117844855
0.029758000811458022,-0.025117942074330876
0.04959666801909649,-0.025103307869982557
0.06943533522673496,-0.025078927887268114
0.08927400243437407,-0.025044817655465065
0.10911266964201254,-0.025000998900524457
0.12895133684965102,-0.02494749953004636
0.14879000405728948,-0.02488435361397984
0.16862867126492795,-0.024811601361061725
0.18846733847256705,-0.024729289091010638
0.20830600568020552,-0.024637469202495828
0.22814467288784399,-0.02453620013690261
0.24798334009548248,-0.024425546337919987
0.26782200730312156,-0.024305578206978547
0.28766067451076005,-0.02417637205457002
0.3074993417183985,-0.024038010047482405
0.327338008926037,-0.023890580151987358
0.3471766761336755,-0.023734176073019673
0.3670153433413146,-0.023568897189391348
0.386854010548953,-0.02339484848508536
0.4066926777565915,-0.023212140476677048
0.42653134496422995,-0.02302088913693373
0.44637001217186906,-0.022821215814646273
0.46620867937950755,-0.022613247150748573
0.48604734658714605,-0.02239711499078338
0.5058860137947845,-0.02217295629377497
0.525724681002423,-0.021940913037573253
0.545563348210062,-0.02170113212073489
0.5654020154177005,-0.02145376526101025
0.585240682625339,-0.021198968890506903
0.6050793498329775,-0.020936904047602727
0.624918017040616,-0.020667736265683925
0.644756684248255,-0.02039163545878635
0.6645953514558935,-0.020108775804219638
0.684434018663532,-0.019819335622255758
0.7042726858711704,-0.01952349725296633
0.7241113530788089,-0.0192214469302945
0.7439500202864481,-0.018913374653449354
0.7637886874940871,-0.018599474055713307
0.783627354701725,-0.01827994227075322
0.8034660219093641,-0.017954979796528527
0.8233046891170019,-0.017624790356891636
0.843143356324641,-0.01728958076097763
0.8629820235322802,-0.016949560760481208
0.882820690739918,-0.016604942904920334
0.902659357947557,-0.01625594239498748
0.922498025155195,-0.0159027769340911
0.942336692362834,-0.015545666578190972
0.9621753595704731,-0.015184833584032352
0.982014026778111,-0.014820502255884641
1.0018526939857502,-0.014452898790891783
1.021691361193388,-0.014082251123141924
1.041530028401027,-0.013708788766565411
1.061368695608666,-0.013332742656771245
1.081207362816304,-0.0129543449919321
1.101046030023943,-0.01257382907282845
1.120884697231581,-0.01219142914216382
1.14072336443922,-0.011807380223263593
1.160562031646859,-0.011421917958269733
1.1804006988544968,-0.011035278445944431
1.200239366062136,-0.01064769807919567
1.2200780332697752,-0.010259413382438085
1.239916700477413,-0.009870660848903066
1.2597553676850521,-0.009481676778011218
1.27959403489269,-0.009092697112920718
1.2994327021003291,-0.008703957278364951
1.319271369307968,-0.008315692018892817
1.339110036515606,-0.007928135237624421
1.358948703723245,-0.007541519835634568
1.3787873709308829,-0.007156077552076106
1.398626038138522,-0.006772038805154888
1.4184647053461612,-0.006389632534067134
1.438303372553799,-0.006009086042009572
1.458142039761438,-0.005630624840371754
1.4779807069690758,-0.005254472494219311
1.497819374176715,-0.0048808504691759125
1.5176580413843541,-0.0045099779798108705
1.537496708591992,-0.004142071839637934
1.557335375799631,-0.0037773463128298657
1.577174043007269,-0.0034160129677525118
1.597012710214908,-0.0030582805324202056
1.616851377422547,-0.00270435475197348
1.6366900446301849,-0.0023544382482784563
1.656528711837824,-0.0020087303817456523
1.6763673790454632,-0.001667427115464687
1.696206046253101,-0.0013307208817495493
1.7160447134607402,-0.0009988004511875897
1.735883380668378,-0.0006718508042833233
1.755722047876017,-0.00035005300578652525
1.775560715083656,-3.3584081792270835e-05
1.795399382291294,0.0002773831003014307
1.815238049498933,0.0005826799488947495
1.835076716706571,0.0008821422622644068
1.85491538391421,0.0011756103395398946
1.874754051121849,0.001462929088500056
1.894592718329487,0.0017439481301150185
1.914431385537126,0.002018521899760836
1.9342700527447638,0.002286509745036327
1.954108719952403,0.0025477760201137877
1.9739473871600421,0.0028021901765582394
1.99378605436768,0.003049626850551889
2.013624721575319,0.0032899659464631814
2.0334633887829567,0.003523092716702251
2.053302055990596,0.003748897837807301
2.073140723198235,0.003967277482709044
2.092979390405873,0.004178133389123065
2.112818057613512,0.0043813729240224355
2.132656724821151,0.004576909144146068
2.152495392028789,0.004764660852500759
2.172334059236428,0.004944552650817527
2.192172726444066,0.005116514987926139
2.212011393651705,0.00528048420401441
2.2318500608593443,0.005436402570741465
2.251688728066982,0.0055842183271774025
2.271527395274621,0.005723885711544474
2.291366062482259,0.00585536498873796
2.311204729689898,0.005978622473607822
2.3310433968975373,0.0060936305499853525
2.350882064105175,0.006200367685441823
2.3707207313128142,0.0062988184417689915
2.390559398520452,0.006388973481174539
2.410398065728091,0.006470829568188674
2.43023673293573,0.006544389567280757
2.4500754001433678,0.0066096624361881295
2.469914067351007,0.006666663214961842
2.489752734558646,0.006715413010737575
2.509591401766284,0.006755938978242803
2.529430068973923,0.0067882742960539985
2.549268736181561,0.00681245813862098
2.5691074033892,0.006828535644078394
2.588946070596839,0.006836557877867003
2.608784737804477,0.0068365817921907214
2.628623405012116,0.006828670181338147
2.648462072219754,0.0068128916329001045
2.668300739427393,0.006789320474917808
2.688139406635032,0.006758036718998859
2.70797807384267,0.006719125999441278
2.727816741050309,0.006672679508408619
2.747655408257947,0.006618793927201634
2.767494075465586,0.00655757135367504
2.7873327426732253,0.006489119225850673
2.807171409880863,0.00641355024178076
2.8270100770885023,0.006330982275717533
2.84684874429614,0.006241538290648212
2.866687411503779,0.0061453462472572055
2.886526078711418,0.006042539009379348
2.906364745919056,0.0059332542460106335
2.926203413126695,0.005817634329945403
2.946042080334334,0.005695826233111308
2.965880747541972,0.005567981418675634
2.985719414749611,0.005434255729998666
3.0055580819572487,0.005294809276512264
3.025396749164888,0.005149806316603726
3.045235416372527,0.004999415137587418
3.065074083580165,0.004843807932848399
3.084912750787804,0.004683160676244287
3.104751417995442,0.0045176529938534896
3.124590085203081,0.0043474680331600625
3.14442875241072,0.0041727923297671
3.164267419618358,0.003993815671732072
3.184106086825997,0.003810730961619432
3.203944754033635,0.0036237340763673217
3.223783421241274,0.0034330237250668407
3.2436220884489133,0.0032388013047537126
3.263460755656551,0.003041270754313515
3.28329942286419,0.0028406384066030164
3.3031380900718292,0.0026371128388915006
3.322976757279467,0.0024309047217270494
3.3428154244871062,0.0022222266663322475
3.362654091694744,0.002011293070471006
3.382492758902383,0.0017983199521174103
3.402331426110022,0.0015835243616622644
3.42217009331766,0.0013671145325420523
3.442008760525299,0.0011491679655144926
3.4618474277329367,0.0009288445667688512
3.481686094940576,0.0007025038689978291
3.501524762148215,0.00046734047486290037
3.521363429355853,0.000243939798406015
3.541202096563492,8.551741792411541e-05
3.56104076377113,1.713912632030238e-05
3.580879430978769,1.711641546186261e-06
3.600718098186408,7.680795424100405e-08
3.620556765394046,1.4414830951552683e-09
3.640395432601685,1.0794798947261367e-11
3.660234099809323,3.131818111833442e-14
3.680072767016962,3.43586848472035e-17
3.699911434224601,-4.483773521359834e-19
3.719750101432239,-7.2425494095622815e-19
3.739588768639878,-7.291582316069163e-19
3.7594274358475173,-8.188822020337589e-19
3.779266103055155,-1.1443490245011225e-18
3.7991047702627943,1.5413045422987113e-18
3.818943437470432,-5.195111159981988e-19
3.8387821046780712,-4.468944641455299e-19
3.85862077188571,3.233316134219426e-19
3.878459439093348,-3.3656613735375425e-19
3.898298106300987,-6.106500859198899e-19
3.9181367735086248,-1.2510176716595708e-18
3.937975440716264,-5.283458574113569e-19
3.957814107923903,2.269228205915144e-19
3.977652775131541,-1.4049143630841442e-18
3.99749144233918,2.0608901621310884e-18
4.017330109546818,1.0502665568105647e-18
4.037168776754457,-3.893955943561296e-19
4.057007443962096,-2.0262886871726829e-19
4.076846111169734,1.7956686471576758e-19
4.096684778377373,-1.743626012539287e-18
4.116523445585011,-1.3154099255018908e-18
4.13636211279265,-2.9085158206349868e-18
4.156200780000289,-3.487107504879472e-19
4.176039447207927,7.505991829663465e-19
4.195878114415566,1.0226520970983883e-18
4.215716781623205,-1.7251609427192183e-18
4.235555448830843,-6.1974979678935495e-19
4.255394116038482,-5.925450735370616e-19
4.27523278324612,5.928689500378225e-19
4.295071450453759,-1.5269829661476717e-18
4.314910117661398,1.0420997397476848e-18
4.334748784869036,3.794312283385407e-19
4.354587452076675,-2.213449848989673e-19
4.374426119284313,-3.2638976229947872e-19
4.394264786491952,-5.3870863667315e-19
4.414103453699592,-4.289963594085009e-19
4.433942120907229,1.1635811132671522e-18
4.453780788114868,-3.73567426282252e-19
4.473619455322506,1.08167376687363e-18
4.493458122530145,5.233085140896129e-19
4.513296789737784,8.07089547271194e-19
4.533135456945422,3.343814997851404e-19
4.552974124153061,-2.6554969420036766e-20
4.572812791360699,-3.772832670088082e-19
4.592651458568338,1.260460546395086e-18
4.612490125775977,-6.006487702657596e-19
4.632328792983615,-1.3108167005777683e-18
4.652167460191254,-5.889155019351188e-19
4.672006127398893,6.560146903249668e-19
4.691844794606531,-5.940455152180589e-19
4.71168346181417,9.571372583192356e-19
4.731522129021808,1.080469201741611e-18
4.751360796229447,4.401940767010281e-19
4.771199463437086,-1.3363492650240331e-18
4.791038130644724,9.207860003329866e-19
4.810876797852363,1.119561551211415e-18
4.830715465060001,4.855999633699273e-19
4.85055413226764,6.149111516482894e-19
4.870392799475279,1.1708251001563764e-18
4.890231466682917,1.9992781881884235e-20
4.910070133890556,1.656675350811224e-18
4.929908801098194,-2.459435219746271e-19
4.949747468305833,1.0915436862062333e-18
